symbol,accuracy,avg_pnl,avg_pnl_pct,cagr,confidence_buckets,f1_score,gross_loss,gross_profit,loss_count,max_drawdown,optimal_confidence_threshold,precision,precision_buy,prediction_counts,profit_factor,recall,sharpe_ratio,total_trades,trade_expectancy,train_accuracy,train_test_gap,val_accuracy,val_test_gap,win_count,win_rate,window_index
ABB.NS,0.336,1894.0607910156286,0.10394475065353304,0.03810350215236413,"{'low': {'count': 69, 'correct': 29}, 'medium': {'count': 54, 'correct': 12}, 'high': {'count': 2, 'correct': 1}}",0.3514026666666667,0,1894.0607910156286,0,0.0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.37096337877572844,0.2916666666666667,"{0: 43, 1: 58, 2: 24}",inf,0.336,-1.146972748608549,1,"{'expectancy': np.float64(1894.0607910156286), 'avg_win': np.float64(1894.0607910156286), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.8995098039215687,0.5635098039215687,0.6585365853658537,0.32253658536585367,1,1.0,1
ADANIENT.NS,0.36,0,,0,"{'low': {'count': 66, 'correct': 23}, 'medium': {'count': 51, 'correct': 21}, 'high': {'count': 8, 'correct': 1}}",0.3427562146019978,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.5833263869332581,0.8,"{0: 67, 1: 53, 2: 5}",0,0.36,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.8958333333333334,0.5358333333333334,0.6504065040650406,0.29040650406504065,,0,1
ADANIGREEN.NS,0.288,2264.2492179565447,0.15931140060548077,0.09083124202409842,"{'low': {'count': 47, 'correct': 13}, 'medium': {'count': 51, 'correct': 21}, 'high': {'count': 27, 'correct': 2}}",0.3420564705882353,0,4528.498435913089,0,0.0008668203183285368,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.4578078160919541,0.05172413793103448,"{0: 25, 1: 42, 2: 58}",inf,0.288,0.49331473487933664,2,"{'expectancy': np.float64(2264.2492179565447), 'avg_win': np.float64(2264.2492179565447), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 2}",0.8548185231539425,0.5668185231539424,0.6083333333333333,0.3203333333333333,2,1.0,1
ADANIPORTS.NS,0.352,-23.249612182610235,-0.0006901830709995818,-0.0028305879531813627,"{'low': {'count': 30, 'correct': 12}, 'medium': {'count': 50, 'correct': 17}, 'high': {'count': 45, 'correct': 15}}",0.35067079463364287,23.249612182610235,0,1,0.001411453335295664,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5146945412311267,0.14285714285714285,"{0: 82, 1: 36, 2: 7}",0.0,0.352,-42.313262220996215,1,"{'expectancy': np.float64(-23.249612182610235), 'avg_win': 0, 'avg_loss': np.float64(23.249612182610235), 'win_rate': 0.0, 'total_trades': 1}",0.9080882352941176,0.5560882352941177,0.6422764227642277,0.2902764227642277,0,0.0,1
ADANIPOWER.NS,0.3709677419354839,1279.100963205975,0.08485358276378352,0.07544608369757899,"{'low': {'count': 73, 'correct': 31}, 'medium': {'count': 41, 'correct': 14}, 'high': {'count': 10, 'correct': 1}}",0.3828061893522161,199.59168078613135,4036.894570404056,1,0.011315202227145613,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.3987632050556498,0.2222222222222222,"{0: 40, 1: 57, 2: 27}",20.22576569576421,0.3709677419354839,0.40228102852272124,3,"{'expectancy': np.float64(1279.100963205975), 'avg_win': np.float64(2018.447285202028), 'avg_loss': np.float64(199.59168078613135), 'win_rate': 0.6666666666666666, 'total_trades': 3}",0.8847583643122676,0.5137906223767837,0.5901639344262295,0.21919619249074562,2,0.6666666666666666,1
AMBUJACEM.NS,0.496,-1081.1188264160105,-0.030580578526163683,-0.024027825087990062,"{'low': {'count': 62, 'correct': 30}, 'medium': {'count': 48, 'correct': 29}, 'high': {'count': 15, 'correct': 3}}",0.4661917548944224,1081.1188264160105,0,1,0.01204584462601866,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.4645273566249176,0.16666666666666666,"{0: 37, 1: 82, 2: 6}",0.0,0.496,-5.330852862011488,1,"{'expectancy': np.float64(-1081.1188264160105), 'avg_win': 0, 'avg_loss': np.float64(1081.1188264160105), 'win_rate': 0.0, 'total_trades': 1}",0.9031862745098039,0.40718627450980394,0.6666666666666666,0.17066666666666663,0,0.0,1
APOLLOHOSP.NS,0.344,573.70531575521,0.03596934715695385,0.032664562076440085,"{'low': {'count': 64, 'correct': 21}, 'medium': {'count': 40, 'correct': 13}, 'high': {'count': 21, 'correct': 9}}",0.354715667311412,0,1721.11594726563,0,0.0020015355660533535,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.518,0.20833333333333334,"{0: 21, 1: 32, 2: 72}",inf,0.344,-1.9844918500850168,3,"{'expectancy': np.float64(573.70531575521), 'avg_win': np.float64(573.70531575521), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.8860294117647058,0.5420294117647059,0.6341463414634146,0.29014634146341467,3,1.0,1
ASIANPAINT.NS,0.368,549.4281889648472,0.021874047691222254,0.028062164169207593,"{'low': {'count': 49, 'correct': 21}, 'medium': {'count': 50, 'correct': 17}, 'high': {'count': 26, 'correct': 8}}",0.3740531356441595,0,1648.2845668945415,0,0.0017064897574191977,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.4772431077694235,0.08333333333333333,"{0: 63, 1: 38, 2: 24}",inf,0.368,-2.122285888252093,3,"{'expectancy': np.float64(549.4281889648472), 'avg_win': np.float64(549.4281889648472), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.8811274509803921,0.5131274509803921,0.6260162601626016,0.2580162601626016,3,1.0,1
AXISBANK.NS,0.416,760.7161188354522,0.0336037402723183,0.04349036581434218,"{'low': {'count': 20, 'correct': 8}, 'medium': {'count': 66, 'correct': 28}, 'high': {'count': 39, 'correct': 16}}",0.4077307827846254,0,2282.148356506357,0,0.006665653388851883,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5235827565270188,0.6,"{0: 54, 1: 61, 2: 10}",inf,0.416,-0.6774802758825771,3,"{'expectancy': np.float64(760.7161188354522), 'avg_win': np.float64(760.7161188354522), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.8897058823529411,0.47370588235294114,0.6016260162601627,0.18562601626016267,3,1.0,1
BAJAJ-AUTO.NS,0.464,390.70696191406387,0.018006647512230915,0.018506369714625492,"{'low': {'count': 61, 'correct': 31}, 'medium': {'count': 48, 'correct': 20}, 'high': {'count': 16, 'correct': 7}}",0.5089348798674399,0,1172.1208857421916,0,0.005179329936248833,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.6045891625615765,0.10344827586206896,"{0: 40, 1: 56, 2: 29}",inf,0.464,-2.1693069376829315,3,"{'expectancy': np.float64(390.70696191406387), 'avg_win': np.float64(390.70696191406387), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.8946078431372549,0.4306078431372549,0.6666666666666666,0.2026666666666666,3,1.0,1
